time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_range,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/std,train/approx_kl,train/clip_fraction
0,2048,1,6429,,,,,,,,,,,
0,4096,2,7923,1.0884202718734741,0.0001,37.3759742975235,226,0.2,0.023695457370195072,-0.022406762956961757,-0.03815174102783203,0.6612004041671753,0.011472402,0.205810546875
0,6144,3,9346,1.1182053089141846,0.0001,38.68728490173817,234,0.2,0.01898238079957082,-0.02661284347777837,-0.05480611324310303,0.6527478098869324,0.012115648,0.2095947265625
0,8192,4,10797,1.1717188358306885,0.0001,39.39854571223259,242,0.2,0.016365081731237296,-0.00854178918962134,-0.07426905632019043,0.645548403263092,0.012936488,0.211181640625
0,10240,5,12258,1.1220169067382812,0.0001,37.81780564785004,250,0.2,0.011533780664194637,-0.02331583224076894,-0.05696249008178711,0.6387422680854797,0.009837234,0.17578125
